rule_id,query_name,industry,objective,category,subcategory,required_groups,forbidden_terms,compiled_regex,regex_flags
203,Dissatisfied 8.5,Telco / DTH,Not Available,Customer Satisfaction,Customer Satisfaction,"[[""I'm very dissatisfied"", ""I was satisfied"", ""very satisfied"", ""completely satisfied"", ""thirty day money back guarantee""]]","[""I'm very dissatisfied"", ""I was satisfied"", ""very satisfied"", ""completely satisfied""]",^(?!.*I'm\s+very\s+dissatisfied)(?!.*I\s+was\s+satisfied)(?!.*very\s+satisfied)(?!.*completely\s+satisfied)(?=.*(?:I'm\s+very\s+dissatisfied|I\s+was\s+satisfied|very\s+satisfied|completely\s+satisfied|thirty\s+day\s+money\s+back\s+guarantee)).*$,IGNORECASE
204,Dissatisfied v8.5,Telco / DTH,Not Available,Customer Satisfaction,Customer Satisfaction,"[[""I'm very dissatisfied"", ""I was satisfied"", ""very satisfied"", ""completely satisfied"", ""thirty day money back guarantee""]]","[""I'm very dissatisfied"", ""I was satisfied"", ""very satisfied"", ""completely satisfied""]",^(?!.*I'm\s+very\s+dissatisfied)(?!.*I\s+was\s+satisfied)(?!.*very\s+satisfied)(?!.*completely\s+satisfied)(?=.*(?:I'm\s+very\s+dissatisfied|I\s+was\s+satisfied|very\s+satisfied|completely\s+satisfied|thirty\s+day\s+money\s+back\s+guarantee)).*$,IGNORECASE
205,Dissatisfied v9,Telco / DTH,Not Available,Customer Satisfaction,Customer Satisfaction,"[[""I'm very dissatisfied"", ""I was satisfied"", ""very satisfied"", ""completely satisfied"", ""thirty day money back guarantee""]]","[""I'm very dissatisfied"", ""I was satisfied"", ""very satisfied"", ""completely satisfied""]",^(?!.*I'm\s+very\s+dissatisfied)(?!.*I\s+was\s+satisfied)(?!.*very\s+satisfied)(?!.*completely\s+satisfied)(?=.*(?:I'm\s+very\s+dissatisfied|I\s+was\s+satisfied|very\s+satisfied|completely\s+satisfied|thirty\s+day\s+money\s+back\s+guarantee)).*$,IGNORECASE
206,Don't Even Watch,Telco / DTH,Not Available,Process Specific,Process Specific,"[[""I Don't even watch"", ""don't even know"", ""don't even want"", ""don't need"", ""I can't even watch"", ""ability to watch"", ""don't really watch"", ""so much"", ""watch cable then"", ""don't realize"", ""we watch""]]","[""I Don't even watch"", ""don't even know"", ""don't even want"", ""\""don't need"", ""I can't even watch"", ""ability to watch"", ""don't really watch"", ""so much"", ""watch cable then"", ""don't realize"", ""we watch""]","^(?!.*I\s+Don't\s+even\s+watch)(?!.*don't\s+even\s+know)(?!.*don't\s+even\s+want)(?!.*""don't\s+need)(?!.*I\s+can't\s+even\s+watch)(?!.*ability\s+to\s+watch)(?!.*don't\s+really\s+watch)(?!.*so\s+much)(?!.*watch\s+cable\s+then)(?!.*don't\s+realize)(?!.*we\s+watch)(?=.*(?:I\s+Don't\s+even\s+watch|don't\s+even\s+know|don't\s+even\s+want|don't\s+need|I\s+can't\s+even\s+watch|ability\s+to\s+watch|don't\s+really\s+watch|so\s+much|watch\s+cable\s+then|don't\s+realize|we\s+watch)).*$",IGNORECASE
207,Don't Even Watch 8.5,Telco / DTH,Not Available,Process Specific,Process Specific,"[[""I don't even watch"", ""don't even know"", ""don't even want"", ""don't need"", ""I can't even watch"", ""ability to watch"", ""we don't even watch"", ""be able to watch"", ""probably don't watch"", ""allow you to watch"", ""don't really watch""]]","[""I don't even watch"", ""don't even know"", ""don't even want"", ""don't need"", ""I can't even watch"", ""ability to watch"", ""we don't even watch"", ""be able to watch"", ""probably don't watch"", ""allow you to watch""]",^(?!.*I\s+don't\s+even\s+watch)(?!.*don't\s+even\s+know)(?!.*don't\s+even\s+want)(?!.*don't\s+need)(?!.*I\s+can't\s+even\s+watch)(?!.*ability\s+to\s+watch)(?!.*we\s+don't\s+even\s+watch)(?!.*be\s+able\s+to\s+watch)(?!.*probably\s+don't\s+watch)(?!.*allow\s+you\s+to\s+watch)(?=.*(?:I\s+don't\s+even\s+watch|don't\s+even\s+know|don't\s+even\s+want|don't\s+need|I\s+can't\s+even\s+watch|ability\s+to\s+watch|we\s+don't\s+even\s+watch|be\s+able\s+to\s+watch|probably\s+don't\s+watch|allow\s+you\s+to\s+watch|don't\s+really\s+watch)).*$,IGNORECASE
208,Don't Even Watch v8.5,Telco / DTH,Not Available,Process Specific,Process Specific,"[[""I don't even watch"", ""don't even know"", ""don't even want"", ""don't need"", ""I can't even watch"", ""ability to watch"", ""we don't even watch"", ""be able to watch"", ""probably don't watch"", ""allow you to watch"", ""don't really watch""]]","[""I don't even watch"", ""don't even know"", ""don't even want"", ""don't need"", ""I can't even watch"", ""ability to watch"", ""we don't even watch"", ""be able to watch"", ""probably don't watch"", ""allow you to watch""]",^(?!.*I\s+don't\s+even\s+watch)(?!.*don't\s+even\s+know)(?!.*don't\s+even\s+want)(?!.*don't\s+need)(?!.*I\s+can't\s+even\s+watch)(?!.*ability\s+to\s+watch)(?!.*we\s+don't\s+even\s+watch)(?!.*be\s+able\s+to\s+watch)(?!.*probably\s+don't\s+watch)(?!.*allow\s+you\s+to\s+watch)(?=.*(?:I\s+don't\s+even\s+watch|don't\s+even\s+know|don't\s+even\s+want|don't\s+need|I\s+can't\s+even\s+watch|ability\s+to\s+watch|we\s+don't\s+even\s+watch|be\s+able\s+to\s+watch|probably\s+don't\s+watch|allow\s+you\s+to\s+watch|don't\s+really\s+watch)).*$,IGNORECASE
209,Don't Even Watch v9,Telco / DTH,Not Available,Process Specific,Process Specific,"[[""I don't even watch"", ""don't even know"", ""don't even want"", ""don't need"", ""I can't even watch"", ""ability to watch"", ""we don't even watch"", ""be able to watch"", ""probably don't watch"", ""allow you to watch"", ""don't really watch""]]","[""I don't even watch"", ""don't even know"", ""don't even want"", ""don't need"", ""I can't even watch"", ""ability to watch"", ""we don't even watch"", ""be able to watch"", ""probably don't watch"", ""allow you to watch""]",^(?!.*I\s+don't\s+even\s+watch)(?!.*don't\s+even\s+know)(?!.*don't\s+even\s+want)(?!.*don't\s+need)(?!.*I\s+can't\s+even\s+watch)(?!.*ability\s+to\s+watch)(?!.*we\s+don't\s+even\s+watch)(?!.*be\s+able\s+to\s+watch)(?!.*probably\s+don't\s+watch)(?!.*allow\s+you\s+to\s+watch)(?=.*(?:I\s+don't\s+even\s+watch|don't\s+even\s+know|don't\s+even\s+want|don't\s+need|I\s+can't\s+even\s+watch|ability\s+to\s+watch|we\s+don't\s+even\s+watch|be\s+able\s+to\s+watch|probably\s+don't\s+watch|allow\s+you\s+to\s+watch|don't\s+really\s+watch)).*$,IGNORECASE
210,Dot Com/Closing of the Call 8.5,Telco / DTH,Not Available,Process Specific,Call Closing,"[[""w w w dot comcast""]]",[],^(?=.*(?:w\s+w\s+w\s+dot\s+comcast)).*$,IGNORECASE
211,Dot Com/Troubleshooting 8.5,Telco / DTH,Not Available,Technical,Troubleshooting,"[[""click on internet options"", ""click on security"", ""make this my homepage"", ""\""click on email"", ""click on account"", ""click on account settings"", ""\""Click the control panel"", ""Connect at very very top"", ""forward slash norton"", ""forward slash tool bar"", ""\""go to internet explorer"", ""log in to email"", ""look above the webpage"", ""trying to send the signal"", ""type in the address bar"", ""forward slash wireless router""], [""w-w-w dot comcast dot net""]]","[""w-w-w dot comcast dot com"", ""yahoo dot com"", ""microsoft dot com""]","^(?!.*w\-w\-w\s+dot\s+comcast\s+dot\s+com)(?!.*yahoo\s+dot\s+com)(?!.*microsoft\s+dot\s+com)(?=.*(?:click\s+on\s+internet\s+options|click\s+on\s+security|make\s+this\s+my\s+homepage|""click\s+on\s+email|click\s+on\s+account|click\s+on\s+account\s+settings|""Click\s+the\s+control\s+panel|Connect\s+at\s+very\s+very\s+top|forward\s+slash\s+norton|forward\s+slash\s+tool\s+bar|""go\s+to\s+internet\s+explorer|log\s+in\s+to\s+email|look\s+above\s+the\s+webpage|trying\s+to\s+send\s+the\s+signal|type\s+in\s+the\s+address\s+bar|forward\s+slash\s+wireless\s+router))(?=.*(?:w\-w\-w\s+dot\s+comcast\s+dot\s+net)).*$",IGNORECASE
212,Dot Com-Bill,Telco / DTH,Not Available,Billing,Payments,"[[""DotComPayBill""]]","[""Pay Your Bill"", ""Cable TV"", ""Cable Box"", ""Make Payment"", ""Make the Payment Arrangement"", ""Pay Online"", ""Go online"", ""Look online"", ""Make payment online"", ""Make a Payment Arrangement""]",^(?!.*Pay\s+Your\s+Bill)(?!.*Cable\s+TV)(?!.*Cable\s+Box)(?!.*Make\s+Payment)(?!.*Make\s+the\s+Payment\s+Arrangement)(?!.*Pay\s+Online)(?!.*Go\s+online)(?!.*Look\s+online)(?!.*Make\s+payment\s+online)(?!.*Make\s+a\s+Payment\s+Arrangement)(?=.*(?:DotComPayBill)).*$,IGNORECASE
213,DOT COMCAST/Wireless Router 8.5,Telco / DTH,Not Available,Technical,Router related,"[[""Forward Slash Wireless Router"", ""Back Slash Wireless Router"", ""\""Slash Wireless Router""], [""Comcast Dot Com""], [""OR(\""Forward Slash Wireless Router\"",\""Back Slash Wireless Router\"", \""Slash Wireless Router""]]",[],"^(?=.*(?:Forward\s+Slash\s+Wireless\s+Router|Back\s+Slash\s+Wireless\s+Router|""Slash\s+Wireless\s+Router))(?=.*(?:Comcast\s+Dot\s+Com))(?=.*(?:OR\(""Forward\s+Slash\s+Wireless\s+Router"",""Back\s+Slash\s+Wireless\s+Router"",\s+""Slash\s+Wireless\s+Router)).*$",IGNORECASE
214,Dot Com-Channel Line Up,Telco / DTH,Not Available,Process Specific,Process Specific,"[[""Channel line up""], [""Comcast Dot Com""]]",[],^(?=.*(?:Channel\s+line\s+up))(?=.*(?:Comcast\s+Dot\s+Com)).*$,IGNORECASE
215,Dot Com-Closing of the Call,Telco / DTH,Not Available,Process Specific,Process Specific,"[[""w w w dot comcast""]]",[],^(?=.*(?:w\s+w\s+w\s+dot\s+comcast)).*$,IGNORECASE
216,Dot Com-Troubleshooting,Telco / DTH,Not Available,Technical,Troubleshooting,"[[""click on security"", ""make this my homepage"", ""click on email"", ""click on account"", ""\""Click the control panel"", ""forward slash norton"", ""go to internet explorer"", ""\""trying to send the signal"", ""type in the address bar"", ""forward slash wireless router""], [""w-w-w dot comcast dot net""], [""OR(\""click on security\"",\""make this my homepage\"",\""click on email \"",\""click on account\"", \""Click the control panel\"",\""forward slash norton\"",\""go to internet explorer\"", \""trying to send the signal\"",\""type in the address bar\"",\""forward slash wireless router""]]","[""w-w-w dot comcast dot com"", ""yahoo dot com"", ""microsoft dot com""]","^(?!.*w\-w\-w\s+dot\s+comcast\s+dot\s+com)(?!.*yahoo\s+dot\s+com)(?!.*microsoft\s+dot\s+com)(?=.*(?:click\s+on\s+security|make\s+this\s+my\s+homepage|click\s+on\s+email|click\s+on\s+account|""Click\s+the\s+control\s+panel|forward\s+slash\s+norton|go\s+to\s+internet\s+explorer|""trying\s+to\s+send\s+the\s+signal|type\s+in\s+the\s+address\s+bar|forward\s+slash\s+wireless\s+router))(?=.*(?:w\-w\-w\s+dot\s+comcast\s+dot\s+net))(?=.*(?:OR\(""click\s+on\s+security"",""make\s+this\s+my\s+homepage"",""click\s+on\s+email\s+"",""click\s+on\s+account"",\s+""Click\s+the\s+control\s+panel"",""forward\s+slash\s+norton"",""go\s+to\s+internet\s+explorer"",\s+""trying\s+to\s+send\s+the\s+signal"",""type\s+in\s+the\s+address\s+bar"",""forward\s+slash\s+wireless\s+router)).*$",IGNORECASE
217,Dot Com-Wireless Router,Telco / DTH,Not Available,Technical,Router related,"[[""Forward Slash Wireless Router"", ""Back Slash Wireless Router"", ""Slash Wireless Router""], [""Comcast Dot Com""], [""OR(\""Forward Slash Wireless Router\"",\""Back Slash Wireless Router\"",\""Slash Wireless Router""]]",[],"^(?=.*(?:Forward\s+Slash\s+Wireless\s+Router|Back\s+Slash\s+Wireless\s+Router|Slash\s+Wireless\s+Router))(?=.*(?:Comcast\s+Dot\s+Com))(?=.*(?:OR\(""Forward\s+Slash\s+Wireless\s+Router"",""Back\s+Slash\s+Wireless\s+Router"",""Slash\s+Wireless\s+Router)).*$",IGNORECASE
218,Downgrade,Telco / DTH,Not Available,Account related,Package change,"[[""downgrade"", ""downgrading"", ""cheaper plans""]]","[""remove the cable"", ""cable boxes"", ""cable modem"", ""regular cable box"", ""basic cable"", ""\""new cable box"", ""cable t v"", ""for the cable"", ""couple of channels"", ""cable modem"", ""remove internet"", ""level of ineternet"", ""price of the internet"", ""another internet"", ""\""surfing the internet"", ""new internet"", ""remove channel"", ""movie channel"", ""new channel"", ""premium channel"", ""local channels"", ""\""lose the channel"", ""more channels"", ""preferred channels"", ""digital channel"", ""analog channel""]","^(?!.*remove\s+the\s+cable)(?!.*cable\s+boxes)(?!.*cable\s+modem)(?!.*regular\s+cable\s+box)(?!.*basic\s+cable)(?!.*""new\s+cable\s+box)(?!.*cable\s+t\s+v)(?!.*for\s+the\s+cable)(?!.*couple\s+of\s+channels)(?!.*cable\s+modem)(?!.*remove\s+internet)(?!.*level\s+of\s+ineternet)(?!.*price\s+of\s+the\s+internet)(?!.*another\s+internet)(?!.*""surfing\s+the\s+internet)(?!.*new\s+internet)(?!.*remove\s+channel)(?!.*movie\s+channel)(?!.*new\s+channel)(?!.*premium\s+channel)(?!.*local\s+channels)(?!.*""lose\s+the\s+channel)(?!.*more\s+channels)(?!.*preferred\s+channels)(?!.*digital\s+channel)(?!.*analog\s+channel)(?=.*(?:downgrade|downgrading|cheaper\s+plans)).*$",IGNORECASE
219,Downgrade 8.5,Telco / DTH,Not Available,Account related,Package change,"[[""Downgrade"", ""need cheaper plans"", ""remove phone"", ""lower""], [""Var1"", ""Var2""]]","[""remove cable"", ""unscrew the cable"", ""get rid of my cable"", ""basic cable tv"", ""discontinue the cable service"", ""digital cable"", ""remove internet"", ""level of internet"", ""performance internet"", ""downtime of internet"", ""cable phone internet"", ""remove channel"", ""movie channel"", ""premium channel"", ""higher end channel"", ""fourty to fifty channel"", ""channels such as""]",^(?!.*remove\s+cable)(?!.*unscrew\s+the\s+cable)(?!.*get\s+rid\s+of\s+my\s+cable)(?!.*basic\s+cable\s+tv)(?!.*discontinue\s+the\s+cable\s+service)(?!.*digital\s+cable)(?!.*remove\s+internet)(?!.*level\s+of\s+internet)(?!.*performance\s+internet)(?!.*downtime\s+of\s+internet)(?!.*cable\s+phone\s+internet)(?!.*remove\s+channel)(?!.*movie\s+channel)(?!.*premium\s+channel)(?!.*higher\s+end\s+channel)(?!.*fourty\s+to\s+fifty\s+channel)(?!.*channels\s+such\s+as)(?=.*(?:Downgrade|need\s+cheaper\s+plans|remove\s+phone|lower))(?=.*(?:Var1|Var2)).*$,IGNORECASE
220,Driving Me Crazy,Telco / DTH,Not Available,Customer Satisfaction,Customer Satisfaction,"[[""driving me crazy"", ""Indian lakes drive"", ""Centerphase drive"", ""The economy""]]","[""driving me crazy"", ""Indian lakes drive"", ""Centerphase drive"", ""The economy""]",^(?!.*driving\s+me\s+crazy)(?!.*Indian\s+lakes\s+drive)(?!.*Centerphase\s+drive)(?!.*The\s+economy)(?=.*(?:driving\s+me\s+crazy|Indian\s+lakes\s+drive|Centerphase\s+drive|The\s+economy)).*$,IGNORECASE
221,Driving Me Crazy 8.5,Telco / DTH,Not Available,Customer Satisfaction,Customer Satisfaction,"[[""driving me crazy""]]",[],^(?=.*(?:driving\s+me\s+crazy)).*$,IGNORECASE
222,DVR,Telco / DTH,Not Available,Process Specific,Process Specific,"[[""d v r"", ""H D D V R""]]",[],^(?=.*(?:d\s+v\s+r|H\s+D\s+D\s+V\s+R)).*$,IGNORECASE
223,DVR 8.5,Telco / DTH,Not Available,Process Specific,Process Specific,"[[""d v r"", ""t v on channel"", ""v c r""]]","[""d v r"", ""t v on channel"", ""v c r""]",^(?!.*d\s+v\s+r)(?!.*t\s+v\s+on\s+channel)(?!.*v\s+c\s+r)(?=.*(?:d\s+v\s+r|t\s+v\s+on\s+channel|v\s+c\s+r)).*$,IGNORECASE
224,DVR Call Driver,Telco / DTH,Not Available,Process Specific,Process Specific,"[[""D V R"", ""V C R"", ""Dee Vee R box"", ""V C R"", ""T V or the box"", ""over to your box"", ""H D box"", ""Could be the T V"", ""with my D V R"", ""V C R""]]","[""D V R"", ""V C R"", ""Dee Vee R box"", ""V C R"", ""T V or the box"", ""over to your box"", ""\""H D box"", ""Could be the T V"", ""with my D V R"", ""V C R""]","^(?!.*D\s+V\s+R)(?!.*V\s+C\s+R)(?!.*Dee\s+Vee\s+R\s+box)(?!.*V\s+C\s+R)(?!.*T\s+V\s+or\s+the\s+box)(?!.*over\s+to\s+your\s+box)(?!.*""H\s+D\s+box)(?!.*Could\s+be\s+the\s+T\s+V)(?!.*with\s+my\s+D\s+V\s+R)(?!.*V\s+C\s+R)(?=.*(?:D\s+V\s+R|V\s+C\s+R|Dee\s+Vee\s+R\s+box|V\s+C\s+R|T\s+V\s+or\s+the\s+box|over\s+to\s+your\s+box|H\s+D\s+box|Could\s+be\s+the\s+T\s+V|with\s+my\s+D\s+V\s+R|V\s+C\s+R)).*$",IGNORECASE
225,DVR Call Driver 8.5,Telco / DTH,Not Available,Process Specific,Process Specific,"[[""recording"", ""D V R"", ""Dee Vee R box"", ""De Ve R is not working""]]",[],^(?=.*(?:recording|D\s+V\s+R|Dee\s+Vee\s+R\s+box|De\s+Ve\s+R\s+is\s+not\s+working)).*$,IGNORECASE
226,DVR Cannot Record 8.5,Telco / DTH,Not Available,Process Specific,Process Specific,"[[""issue"", ""problem"", ""not able""], [""RECORD"", ""PLAYBACK""], [""A""], [""B""]]","[""its not recording"", ""set up a recording"", ""its done recording"", ""manage my recordings"", ""trouble"", ""triple"", ""treple"", ""playback"", ""call you back"", ""display back"", ""play packages""]",^(?!.*its\s+not\s+recording)(?!.*set\s+up\s+a\s+recording)(?!.*its\s+done\s+recording)(?!.*manage\s+my\s+recordings)(?!.*trouble)(?!.*triple)(?!.*treple)(?!.*playback)(?!.*call\s+you\s+back)(?!.*display\s+back)(?!.*play\s+packages)(?=.*(?:issue|problem|not\s+able))(?=.*(?:RECORD|PLAYBACK))(?=.*(?:A))(?=.*(?:B)).*$,IGNORECASE
227,DVR Converter,Telco / DTH,Not Available,Process Specific,Process Specific,"[[""D V R stoped working""]]","[""D V R is not working"", ""T V is not working"", ""code is not working"", ""internet not working"", ""Problem with the DVR"", ""problem with antivirus"", ""problem with T V"", ""\""Problem with equipment"", ""Problem with the modem""]","^(?!.*D\s+V\s+R\s+is\s+not\s+working)(?!.*T\s+V\s+is\s+not\s+working)(?!.*code\s+is\s+not\s+working)(?!.*internet\s+not\s+working)(?!.*Problem\s+with\s+the\s+DVR)(?!.*problem\s+with\s+antivirus)(?!.*problem\s+with\s+T\s+V)(?!.*""Problem\s+with\s+equipment)(?!.*Problem\s+with\s+the\s+modem)(?=.*(?:D\s+V\s+R\s+stoped\s+working)).*$",IGNORECASE
228,DVR Converter 8.5,Telco / DTH,Not Available,Process Specific,Process Specific,"[[""DVR is not working"", ""DVR is not working either"", ""DVR thats not working"", ""DVR not working"", ""DVR has not been working"", ""My DVR is not working"", ""DVR stoped working"", ""DVR is int working"", ""\""Problem with the DVR"", ""Problem with my D V R"", ""Problem with D V R that you have""]]",[],"^(?=.*(?:DVR\s+is\s+not\s+working|DVR\s+is\s+not\s+working\s+either|DVR\s+thats\s+not\s+working|DVR\s+not\s+working|DVR\s+has\s+not\s+been\s+working|My\s+DVR\s+is\s+not\s+working|DVR\s+stoped\s+working|DVR\s+is\s+int\s+working|""Problem\s+with\s+the\s+DVR|Problem\s+with\s+my\s+D\s+V\s+R|Problem\s+with\s+D\s+V\s+R\s+that\s+you\s+have)).*$",IGNORECASE
229,Early Termination,Telco / DTH,Not Available,Billing,ETF,"[[""Early termination"", ""termination fee""]]",[],^(?=.*(?:Early\s+termination|termination\s+fee)).*$,IGNORECASE
230,Early Termination 8.5,Telco / DTH,Not Available,Billing,ETF,"[[""early termination"", ""termination fee"", ""cancel account"", ""\""cancel comcast""]]",[],"^(?=.*(?:early\s+termination|termination\s+fee|cancel\s+account|""cancel\s+comcast)).*$",IGNORECASE
231,Easy Solve 8.5,Telco / DTH,Not Available,Process Specific,Process Specific,"[[""EasySolve"", ""Easy1""]]","[""easy solve"", ""tee vee itself"", ""tee vee"", ""resolve"", ""self"", ""pretty easy""]",^(?!.*easy\s+solve)(?!.*tee\s+vee\s+itself)(?!.*tee\s+vee)(?!.*resolve)(?!.*self)(?!.*pretty\s+easy)(?=.*(?:EasySolve|Easy1)).*$,IGNORECASE
232,Email Address,Telco / DTH,Not Available,DPA,DPA,"[[""e mail address"", ""the address"", ""name and address"", ""current email address"", ""your email address"", ""email address you would like"", ""mac address"", ""the name and"", ""address for you"", ""phone and address"", ""address on"", ""the address"", ""your address"", ""name and address""]]",[],^(?=.*(?:e\s+mail\s+address|the\s+address|name\s+and\s+address|current\s+email\s+address|your\s+email\s+address|email\s+address\s+you\s+would\s+like|mac\s+address|the\s+name\s+and|address\s+for\s+you|phone\s+and\s+address|address\s+on|the\s+address|your\s+address|name\s+and\s+address)).*$,IGNORECASE
233,Email Address 8.5,Telco / DTH,Not Available,DPA,DPA,"[[""what is your email address"", ""what is your old address"", ""what is your home address"", ""what is your new address"", ""what is your name and address"", ""what is your forwarding address"", ""what is your current email address"", ""what is the email address you're using"", ""update your email address"", ""email address you would like to add""]]","[""what is your email address"", ""what is your old address"", ""what is your home address"", ""\""what is your new address"", ""what is your forwarding address"", ""\""what is your current email address""]","^(?!.*what\s+is\s+your\s+email\s+address)(?!.*what\s+is\s+your\s+old\s+address)(?!.*what\s+is\s+your\s+home\s+address)(?!.*""what\s+is\s+your\s+new\s+address)(?!.*what\s+is\s+your\s+forwarding\s+address)(?!.*""what\s+is\s+your\s+current\s+email\s+address)(?=.*(?:what\s+is\s+your\s+email\s+address|what\s+is\s+your\s+old\s+address|what\s+is\s+your\s+home\s+address|what\s+is\s+your\s+new\s+address|what\s+is\s+your\s+name\s+and\s+address|what\s+is\s+your\s+forwarding\s+address|what\s+is\s+your\s+current\s+email\s+address|what\s+is\s+the\s+email\s+address\s+you're\s+using|update\s+your\s+email\s+address|email\s+address\s+you\s+would\s+like\s+to\s+add)).*$",IGNORECASE
234,Email Address Given,Telco / DTH,Not Available,DPA,DPA,"[[""at hot-mail dot com"", ""at yahoo dot com"", ""\""at gmail dot com"", ""at comcast dot net"", ""at comcast dot com"", ""at a o l dot com"", ""w w w""], [""Before_20( YourEmailAddress, MyEmailAddressIs""]]","[""What is your email address"", ""what is your old address"", ""what is your home address"", ""\""what is your new address"", ""what is your forwarding address"", ""\""what is your current email address""]","^(?!.*What\s+is\s+your\s+email\s+address)(?!.*what\s+is\s+your\s+old\s+address)(?!.*what\s+is\s+your\s+home\s+address)(?!.*""what\s+is\s+your\s+new\s+address)(?!.*what\s+is\s+your\s+forwarding\s+address)(?!.*""what\s+is\s+your\s+current\s+email\s+address)(?=.*(?:at\s+hot\-mail\s+dot\s+com|at\s+yahoo\s+dot\s+com|""at\s+gmail\s+dot\s+com|at\s+comcast\s+dot\s+net|at\s+comcast\s+dot\s+com|at\s+a\s+o\s+l\s+dot\s+com|w\s+w\s+w))(?=.*(?:Before_20\(\s+YourEmailAddress,\s+MyEmailAddressIs)).*$",IGNORECASE
235,Email Address Given 8.5,Telco / DTH,Not Available,DPA,DPA,"[[""lower case no spaces"", ""at hot-mail dot com"", ""at yahoo dot com"", ""\""at gmail dot com"", ""at comcast dot net"", ""at comcast dot com"", ""at a o l dot com"", ""w w w""], [""Before_20( YourEmailAddress, MyEmailAddressIs""]]","[""what is your email address"", ""what is your old address"", ""what is your home address"", ""\""what is your new address"", ""what is your forwarding address"", ""\""what is your current email address""]","^(?!.*what\s+is\s+your\s+email\s+address)(?!.*what\s+is\s+your\s+old\s+address)(?!.*what\s+is\s+your\s+home\s+address)(?!.*""what\s+is\s+your\s+new\s+address)(?!.*what\s+is\s+your\s+forwarding\s+address)(?!.*""what\s+is\s+your\s+current\s+email\s+address)(?=.*(?:lower\s+case\s+no\s+spaces|at\s+hot\-mail\s+dot\s+com|at\s+yahoo\s+dot\s+com|""at\s+gmail\s+dot\s+com|at\s+comcast\s+dot\s+net|at\s+comcast\s+dot\s+com|at\s+a\s+o\s+l\s+dot\s+com|w\s+w\s+w))(?=.*(?:Before_20\(\s+YourEmailAddress,\s+MyEmailAddressIs)).*$",IGNORECASE
236,Email Address Is,Telco / DTH,Not Available,DPA,DPA,"[[""at hot-mail dot com"", ""at yahoo dot com"", ""\""at gmail dot com"", ""at comcast dot net"", ""at comcast dot com"", ""at a o l dot com"", ""w w w""], [""Before_20( YourEmailAddress, MyEmailAddressIs""]]","[""What is your email address"", ""what is your old address"", ""what is your home address"", ""\""what is your new address"", ""what is your forwarding address"", ""\""what is your current email address""]","^(?!.*What\s+is\s+your\s+email\s+address)(?!.*what\s+is\s+your\s+old\s+address)(?!.*what\s+is\s+your\s+home\s+address)(?!.*""what\s+is\s+your\s+new\s+address)(?!.*what\s+is\s+your\s+forwarding\s+address)(?!.*""what\s+is\s+your\s+current\s+email\s+address)(?=.*(?:at\s+hot\-mail\s+dot\s+com|at\s+yahoo\s+dot\s+com|""at\s+gmail\s+dot\s+com|at\s+comcast\s+dot\s+net|at\s+comcast\s+dot\s+com|at\s+a\s+o\s+l\s+dot\s+com|w\s+w\s+w))(?=.*(?:Before_20\(\s+YourEmailAddress,\s+MyEmailAddressIs)).*$",IGNORECASE
237,Email Address Is 8.5,Telco / DTH,Not Available,DPA,DPA,"[[""lower case no spaces"", ""at hot-mail dot com"", ""at yahoo dot com"", ""\""at gmail dot com"", ""at comcast dot net"", ""at comcast dot com"", ""at a o l dot com"", ""w w w""], [""Before_20( YourEmailAddress, MyEmailAddressIs""]]","[""what is your email address"", ""what is your old address"", ""what is your home address"", ""\""what is your new address"", ""what is your forwarding address"", ""\""what is your current email address""]","^(?!.*what\s+is\s+your\s+email\s+address)(?!.*what\s+is\s+your\s+old\s+address)(?!.*what\s+is\s+your\s+home\s+address)(?!.*""what\s+is\s+your\s+new\s+address)(?!.*what\s+is\s+your\s+forwarding\s+address)(?!.*""what\s+is\s+your\s+current\s+email\s+address)(?=.*(?:lower\s+case\s+no\s+spaces|at\s+hot\-mail\s+dot\s+com|at\s+yahoo\s+dot\s+com|""at\s+gmail\s+dot\s+com|at\s+comcast\s+dot\s+net|at\s+comcast\s+dot\s+com|at\s+a\s+o\s+l\s+dot\s+com|w\s+w\s+w))(?=.*(?:Before_20\(\s+YourEmailAddress,\s+MyEmailAddressIs)).*$",IGNORECASE
238,Email Call Driver,Telco / DTH,Not Available,DPA,DPA,"[[""e-mail"", ""e mail account""]]",[],^(?=.*(?:e\-mail|e\s+mail\s+account)).*$,IGNORECASE
239,Email Call Driver 8.5,Telco / DTH,Not Available,DPA,DPA,"[[""e-mail""]]","[""e-mail address"", ""my old address"", ""\""the address""]","^(?!.*e\-mail\s+address)(?!.*my\s+old\s+address)(?!.*""the\s+address)(?=.*(?:e\-mail)).*$",IGNORECASE
